title,author,description,series_details,genres,avg_rating,num_ratings,num_reviews,pages_format,publication_info
We Deserve Monuments,['Jas Hammonds'],"Family secrets, a swoon-worthy romance, and a slow-burn mystery collide in We Deserve Monuments, a YA debut from Jas Hammonds that explores how racial violence can ripple down through generations. What’s more important: Knowing the truth or keeping the peace?Seventeen-year-old Avery Anderson is convinced her senior year is ruined when she's uprooted from her life in DC and forced into the hostile home of her terminally ill grandmother, Mama Letty. The tension between Avery’s mom and Mama Letty makes for a frosty arrival and unearths past drama they refuse to talk about. Every time Avery tries to look deeper, she’s turned away, leaving her desperate to learn the secrets that split her family in two.While tempers flare in her avoidant family, Avery finds friendship in unexpected places: in Simone Cole, her captivating next-door neighbor, and Jade Oliver, daughter of the town’s most prominent family—whose mother’s murder remains unsolved.As the three girls grow closer—Avery and Simone’s friendship blossoming into romance—the sharp-edged opinions of their small southern town begin to hint at something insidious underneath. The racist history of Bardell, Georgia is rooted in Avery’s family in ways she can’t even imagine. With Mama Letty's health dwindling every day, Avery must decide if digging for the truth is worth toppling the delicate relationships she's built in Bardell—or if some things are better left buried.",,"['Young Adult', 'LGBT', 'Contemporary', 'Romance', 'Fiction', 'Lesbian', 'Queer']",4.33,6976,1420,"384 pages, Hardcover","First published November 29, 2022"
Nine Liars,['Maureen Johnson'],"Senior year at Ellingham Academy for Stevie Bell isn’t going well. Her boyfriend, David, is studying in London. Her friends are obsessed with college applications. With the cold case of the century solved, Stevie is adrift. There is nothing to distract her from the questions pinging around her brain—questions about college, love, and life in general.Relief comes when David invites Stevie and her friends to join him for study abroad, and his new friend Izzy introduces her to a double-murder cold case. In 1995, nine friends from Cambridge University went to a country house and played a drunken game of hide-and-seek. Two were found in the woodshed the next day, murdered with an ax.The case was assumed to be a burglary gone wrong, but one of the remaining seven saw something she can’t explain. This was no break-in. Someone’s lying about what happened in the woodshed.Seven suspects. Two murders. One killer still playing a deadly game.",Book 5 in the Truly Devious series,"['Mystery', 'Young Adult', 'Audiobook', 'Mystery Thriller', 'Thriller', 'Fiction', 'Contemporary']",3.83,22136,4195,"445 pages, Hardcover","First published December 27, 2022"
Never Ever Getting Back Together,['Sophie Gonzales'],"When their now famous ex-boyfriend asks them to participate in a teen reality show, two eighteen year old girls—one bent on revenge, the other open to rekindling romance—get tangled up in an unexpected twist when they fall for each other instead in Never Ever Getting Back Together by nationally and internationally-bestselling and Indie Next Pick author Sophie Gonzales.It’s been two years since Maya's ex-boyfriend cheated on her, and she still can’t escape him: his sister married the crown prince of a minor European country and he captured hearts as her charming younger brother. If the world only knew the real Jordy, the manipulative liar who broke Maya’s heart.Skye Kaplan was always cautious with her heart until Jordy said all the right things and earned her trust. Now his face is all over the media and Skye is still wondering why he stopped calling.When Maya and Skye are invited to star on the reality dating show Second-Chance Romance, they’re whisked away to a beautiful mansion—along with four more of Jordy’s exes— to compete for his affections while the whole world watches. Skye wonders if she and Jordy can recapture the spark she knows they had, but Maya has other plans: exposing Jordy and getting revenge. As they navigate the competition, Skye and Maya discover that their real happily ever after is nothing they could have scripted.",,"['Romance', 'LGBT', 'Contemporary', 'Young Adult', 'Lesbian', 'Queer', 'Fiction']",3.7,14917,3812,"384 pages, Hardcover","First published November 29, 2022"
Pride and Prejudice and Pittsburgh,['Rachael Lippincott'],"What if you found a once-in-a-lifetime love…just not in your lifetime?Audrey Cameron has lost her spark. But after getting dumped by her first love and waitlisted at her dream art school all in one week, she has no intention of putting her heart on the line again to get it back. So when local curmudgeon Mr. Montgomery walks into her family’s Pittsburgh convenience store saying he can help her, Audrey doesn’t know what she’s expecting…but it’s definitely not that she’ll be transported back to 1812 to become a Regency romance heroine.Lucy Sinclair isn’t expecting to find an oddly dressed girl claiming to be from two hundred years in the future on her family’s estate. But she has to admit it’s a welcome distraction from being courted by a man her father expects her to marry—who offers a future she couldn’t be less interested in. Not that anyone has cared about what or who she’s interested in since her mother died, taking Lucy’s spark with her.While the two girls try to understand what’s happening and how to send Audrey home, their sparks make a comeback in a most unexpected way. Because as they both try over and over to fall for their suitors and the happily-ever-afters everyone expects of them, they find instead they don’t have to try at all to fall for each other.But can a most unexpected love story survive even more impossible circumstances?",,"['Romance', 'LGBT', 'Lesbian', 'Young Adult', 'Queer', 'Historical Fiction', 'Historical']",4.02,5033,1056,"256 pages, Hardcover","First published January 1, 2023"
What Happens After Midnight,['K.L. Walther'],"Lily Hopper has two more weeks until she's officially finished with boarding school. With graduation quickly approaching Lily is worried that she's somehow missed out on the fun of being in high school. So, when she receives a mysterious note inviting her to join the anonymous senior class Jester in executing the end-of-year prank, Lily sees her chance to put her goody-two-shoes reputation behind her.When Lily realizes the Jester is none other than Taggart Swell, her ex- boyfriend, she's already in too deep to back out. Lily might've dumped Tag, but she still has major feelings. Plus, his brilliant plan to steal the school's yearbooks, targets none other than Lilly's prom date: the Senior Class President, Daniel.As the group of pranksters hide cryptic clues across campus for Daniel to find, Lily and Tag find themselves in close quarters. As the exes dodge Campus Safety guards, night owl teachers, a troop of freshmen, and even Daniel himself, new sparks fly. But old hurts and painful secrets refuse to be ignored. And with graduation on the horizon, Lily can only hope that breaking the rules will help mend her heart.",,"['Romance', 'Young Adult', 'Contemporary', 'Fiction', 'Young Adult Romance', 'Contemporary Romance', 'Audiobook']",3.77,13638,2609,"384 pages, Paperback","First published June 27, 2023"
Together We Rot,['Skyla Arndt'],"A teen girl looking for the truth about her missing mother forms a reluctant alliance with her former best friend...in exchange for hiding him from his cult-leading family.Wil Greene's mom has been missing for over a year, and the police are ready to call the case closed--they claim she skipped town and you can't find a woman who wants to disappear. But she knows her mom wouldn't just leave...and she knows the family of her former best friend, Elwood Clarke, has something to do with it.Elwood has been counting down the days until his 18th birthday--in dread. It marks leaving school and joining his pastor father in dedicating his life to their congregation, the Garden of Adam. But when he comes home after one night of after a final goodbye with his friends, already self-flagellating for the sins of drinking and disobeying his father, he discovers his path is not as virtuous as he thought. He's not his father's successor, but his sacrifice. For the woods he's grown up with are thirsty, and must be paid in blood.Now on the run from a family that wants him dead, he turns to the only one who will believe him: Wil. Together, they form a reluctant partnership; she'll help him hide if he helps her find evidence that his family killed her mother. But in the end they dig up more secrets than they bargained for, unraveling decades of dark cult dealings in their town, led by the Clarke family.And there's a reason they need Elwood's blood for their satanic rituals. Something inhuman is growing inside of him. Everywhere he goes, the plants come alive and the forest calls to him, and Wil isn't sure if she can save the boy she can't help but love.",,"['Horror', 'Fantasy', 'Young Adult', 'Romance', 'Mystery', 'Paranormal', 'Gothic']",3.64,2585,1012,"272 pages, Hardcover","First published August 29, 2023"
This Time It's Real,['Ann Liang'],"When seventeen-year-old Eliza Lin’s essay about meeting the love of her life unexpectedly goes viral, her entire life changes overnight. Now she has the approval of her classmates at her new international school in Beijing, a career-launching internship opportunity at her favorite magazine…and a massive secret to keep.Eliza made her essay up. She’s never been in a relationship before, let alone in love. All good writing is lying, right?Desperate to hide the truth, Eliza strikes a deal with the famous actor in her class, the charming but aloof Caz Song. She’ll help him write his college applications if he poses as her boyfriend. Caz is a dream boyfriend -- he passes handwritten notes to her in class, makes her little sister laugh, and takes her out on motorcycle rides to the best snack stalls around the city.But when her relationship with Caz starts feeling a little too convincing, all of Eliza’s carefully laid plans are threatened. Can she still follow her dreams if it means breaking her own heart?Get ready to fall in love in this hilarious romcom about a girl who begins a fake relationship with the famous actor in her class, perfect for fans of Meg Cabot and Jenny Han.",,"['Romance', 'Young Adult', 'Contemporary', 'Fiction', 'Contemporary Romance', 'Young Adult Romance', 'Asian Literature']",4.04,11819,3077,"352 pages, Hardcover","First published February 7, 2023"
Thieves' Gambit,['Kayvion Lewis'],"The Inheritance Games meets Ocean's Eleven in this cinematic heist thriller where a cutthroat competition brings together the world's best thieves and one thief is playing for the highest stakes of all: her mother's life.At only seventeen years old, Ross Quest is already a master thief, especially adept at escape plans. Until her plan to run away from her legendary family of thieves takes an unexpected turn, leaving her mother's life hanging in the balance.In a desperate bid, she enters the Thieves' Gambit, a series of dangerous, international heists where killing the competition isn't exactly off limits, but the grand prize is a wish for anything in the world--a wish that could save her mom. When she learns two of her competitors include her childhood nemesis and a handsome, smooth-talking guy who might also want to steal her heart, winning the Gambit becomes trickier than she imagined.Ross tries her best to stick to the family creed: trust no one whose last name isn't Quest. But with the stakes this high, Ross will have to decide who to con and who to trust before time runs out. After all, only one of them can win.",Book 1 in the Thieves' Gambit series,"['Young Adult', 'Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Contemporary', 'Fantasy']",3.92,4943,1434,"384 pages, Hardcover","First published September 26, 2023"
Forget Me Not,['Alyson Derrick'],"A romantic ode to the strength of love and the power of choosing each other, against odds and obstacles, again and again.What would you do if you forgot the love of your life ever even existed?Stevie and Nora had a love. A secret, epic, once-in-a-lifetime kind of love. They also had a plan: to leave their small, ultra-conservative town and families behind after graduation and move to California, where they could finally stop hiding that love.But then Stevie has a terrible fall. And when she comes to, she can remember nothing of the last two years—not California, not coming to terms with her sexuality, not even Nora. Suddenly, Stevie finds herself in a life she doesn’t quite understand, one where she’s estranged from her parents, drifting away from her friends, lying about the hours she works, dating a boy she can’t remember crushing on, and headed towards a future that isn’t at all what her fifteen-year-old self would have envisioned.And Nora finds herself…forgotten. Can the two beat the odds a second time and find their way back together when “together” itself is just a lost memory?",,"['Romance', 'Lesbian', 'LGBT', 'Young Adult', 'Contemporary', 'Queer', 'Fiction']",4.27,5671,1208,"320 pages, Hardcover","First published April 4, 2023"
Suddenly a Murder,['Lauren Muñoz'],"Seven friends throw a 1920s-themed party, where it's all pretend--until one of them is murdered. One of Us Is Lying meets Knives Out in this killer locked-room mystery.Someone brought a knife to the party.To celebrate the end of high school, Izzy Morales joins her ride-or-die Kassidy and five friends on a 1920s-themed getaway at the glamorous Ashwood Manor. There, Izzy and her friends party in vintage dresses and expensive diamonds--until Kassidy's boyfriend turns up dead.Murdered,  investigators declare when they arrive at the scene, and now every party guest is a suspect. There's the girlfriend, in love. The other girl, in despair. The old friend, forlorn. The new friend, distressed. The brooding enigma. And then, there's Izzy--the girl who brought the knife.To find the killer, everyone must undergo a grueling interrogation, all while locked in an estate where, suddenly, the greatest luxury is innocence.",,"['Mystery', 'Young Adult', 'Thriller', 'Mystery Thriller', 'Contemporary', 'Fiction', 'Murder Mystery']",3.63,3391,893,"308 pages, Hardcover","First published September 5, 2023"
Ink Blood Sister Scribe,['Emma Törzs'],"In this spellbinding debut novel, two estranged half-sisters tasked with guarding their family's library of magical books must work together to unravel a deadly secret at the heart of their collection--a tale of familial loyalty and betrayal, and the pursuit of magic and power.For generations, the Kalotay family has guarded a collection of ancient and rare books. Books that let a person walk through walls or manipulate the elements--books of magic that half-sisters Joanna and Esther have been raised to revere and protect.All magic comes with a price, though, and for years the sisters have been separated. Esther has fled to a remote base in Antarctica to escape the fate that killed her own mother, and Joanna's isolated herself in their family home in Vermont, devoting her life to the study of these cherished volumes. But after their father dies suddenly while reading a book Joanna has never seen before, the sisters must reunite to preserve their family legacy. In the process, they'll uncover a world of magic far bigger and more dangerous than they ever imagined, and all the secrets their parents kept hidden; secrets that span centuries, continents, and even other libraries . . .",,"['Fantasy', 'Fiction', 'Magical Realism', 'Magic', 'Adult', 'Books About Books', 'Urban Fantasy']",4.06,29705,4786,"416 pages, Hardcover","First published May 30, 2023"
Adelaide,['Genevieve Wheeler'],"For twenty-six-year-old Adelaide Williams, an American living in dreamy London, meeting Rory Hughes was like a lightning bolt out of the blue: this charming Englishman was The One she wasn’t even looking for.Is it enough?Does he respond to texts? Honor his commitments? Make advance plans? Sometimes, rarely, and no, not at all. But when he shines his light on her, the world makes sense, and Adelaide is convinced that, in his heart, he’s fallen just as deeply as she has. Then, when Rory is rocked by an unexpected tragedy, Adelaide does everything in her power to hold him together—even if it means losing herself in the process.When love asks too much of us, how do we find the strength to put ourselves first?With unflinching honesty and heart, this relatable debut from a fresh new voice explores grief and mental health while capturing the timeless nature of what it’s like to be young and in love—with your friends, with your city, and with a person who cannot, will not, love you back.",,"['Fiction', 'Romance', 'Contemporary', 'Mental Health', 'Audiobook', 'Literary Fiction', 'Chick Lit']",3.98,27685,4645,"304 pages, Hardcover","First published April 18, 2023"
The Bandit Queens,['Parini Shroff'],"Geeta's no-good husband disappeared five years ago. She didn't kill him, but everyone thinks she did--no matter how much she protests. But she soon discovers that being known as a ""self-made"" widow has some surprising perks. No one messes with her, no one threatens her, and no one tries to control (ahem, marry) her. It's even been good for her business; no one wants to risk getting on her bad side by not buying her jewelry.Freedom must look good on Geeta, because other women in the village have started asking for her help to get rid of their own no-good husbands...but not all of them are asking nicely.Now that Geeta's fearsome reputation has become a double-edged sword, she must decide how far to go to protect it, along with the life she's built. Because even the best-laid plans of would-be widows tend to go awry.",,"['Fiction', 'Mystery', 'Contemporary', 'India', 'Audiobook', 'Thriller', 'Mystery Thriller']",3.93,28101,4226,"342 pages, Hardcover","First published January 3, 2023"
The Collected Regrets of Clover,['Mikki Brammer'],"What’s the point of giving someone a beautiful death if you can’t give yourself a beautiful life?From the day she watched her kindergarten teacher drop dead during a dramatic telling of Peter Rabbit , Clover Brooks has felt a stronger connection with the dying than she has with the living. After the beloved grandfather who raised her dies alone while she is traveling, Clover becomes a death doula in New York City, dedicating her life to ushering people peacefully through their end-of-life process.Clover spends so much time with the dying that she has no life of her own, until the final wishes of a feisty old woman send Clover on a road trip to uncover a forgotten love story—and perhaps, her own happy ending. As she finds herself struggling to navigate the uncharted roads of romance and friendship, Clover is forced to examine what she really wants, and whether she’ll have the courage to go after it.Probing, clever, and hopeful, The Collected Regrets of Clover is perfect for readers of The Midnight Library and Eleanor Oliphant is Completely Fine as it turns the normally taboo subject of death into a reason to celebrate life.",,"['Fiction', 'Contemporary', 'Romance', 'Audiobook', 'Literary Fiction', 'Death', 'Adult']",4.18,47876,7393,"320 pages, Hardcover","First published May 9, 2023"
In Memoriam,['Alice Winn'],"A haunting, virtuosic debut novel about two young men who fall in love during a time of war.It's 1914, and World War I is ceaselessly churning through thousands of young men on both sides of the fight. The violence of the front feels far away to Henry Gaunt, Sidney Ellwood and the rest of their classmates, safely ensconced in their idyllic boarding school in the English countryside. News of the heroic deaths of their friends only makes the war more exciting.Gaunt, half German, is busy fighting his own private battle--an all-consuming infatuation with his best friend, the glamorous, charming Ellwood--without a clue that Ellwood is pining for him in return. When Gaunt's family asks him to enlist to forestall the anti-German sentiment they face, Gaunt does so immediately, relieved to escape his overwhelming feelings for Ellwood. To Gaunt's horror, Ellwood rushes to join him at the front, and the rest of their classmates soon follow. Now death surrounds them in all its grim reality, often inches away, and no one knows who will be next.An epic tale of both the devastating tragedies of war and the forbidden romance that blooms in its grip, In Memoriam is a breathtaking debut.",,"['Historical Fiction', 'Fiction', 'LGBT', 'Historical', 'Romance', 'Queer', 'War']",4.56,16166,2962,"382 pages, Hardcover","First published March 7, 2023"
One Summer in Savannah,['Terah Shelton Harris'],"""Nothing short of astonishing. The best writers are brave writers, and Harris has proven herself among those ranks."" ―Mateo Askaripour, New York Times bestselling author of Black Buck A compelling debut that glows with bittersweet heart and touching emotion, deeply interrogating questions of family, redemption, and unconditional love in the sweltering summer heat of Savannah, as two people discover what it means to truly forgive. It's been eight years since Sara Lancaster left her home in Savannah, Georgia. Eight years since her daughter, Alana, came into this world, following a terrifying sexual assault that left deep emotional wounds Sara would do anything to forget. But when Sara's father falls ill, she's forced to return home and face the ghosts of her past. While caring for her father and running his bookstore, Sara is desperate to protect her curious, outgoing, genius daughter from the Wylers, the family of the man who assaulted her. Sara thinks she can succeed―her attacker is in prison, his identical twin brother, Jacob, left town years ago, and their mother are all unaware Alana exists. But she soon learns that Jacob has also just returned to Savannah to piece together the fragments of his once-great family. And when their two worlds collide―with the type of force Sara explores in her poetry and Jacob in his astrophysics―they are drawn together in unexpected ways. ""An unforgettable portrayal of familial tragedy, bravery, and redemption."" ―Kim Michele Richardson, New York Times bestselling author of The Book Woman's Daughter",,"['Fiction', 'Romance', 'Contemporary', 'Literary Fiction', 'Adult Fiction', 'Audiobook', 'Adult']",4.17,7019,998,"464 pages, Hardcover","First published July 4, 2023"
"Poverty, by America",['Matthew Desmond'],"The Pulitzer Prize–winning, bestselling author of Evicted reimagines the debate on poverty, making a new and bracing argument about why it persists in America: because the rest of us benefit from it. ONE OF THE MOST ANTICIPATED BOOKS OF 2023: The Washington Post, Time, Esquire, Newsweek, Minneapolis Star Tribune, Elle, Salon, Lit Hub, Kirkus ReviewsThe United States, the richest country on earth, has more poverty than any other advanced democracy. Why? Why does this land of plenty allow one in every eight of its children to go without basic necessities, permit scores of its citizens to live and die on the streets, and authorize its corporations to pay poverty wages?  In this landmark book, acclaimed sociologist Matthew Desmond draws on history, research, and original reporting to show how affluent Americans knowingly and unknowingly keep poor people poor. Those of us who are financially secure exploit the poor, driving down their wages while forcing them to overpay for housing and access to cash and credit. We prioritize the subsidization of our wealth over the alleviation of poverty, designing a welfare state that gives the most to those who need the least. And we stockpile opportunity in exclusive communities, creating zones of concentrated riches alongside those of concentrated despair. Some lives are made small so that others may grow. Elegantly written and fiercely argued, this compassionate book gives us new ways of thinking about a morally urgent problem. It also helps us imagine solutions. Desmond builds a startlingly original and ambitious case for ending poverty. He calls on us all to become poverty abolitionists, engaged in a politics of collective belonging to usher in a new age of shared prosperity and, at last, true freedom.",,"['Nonfiction', 'Politics', 'Sociology', 'History', 'Economics', 'Audiobook', 'Social Justice']",4.29,29189,4124,"284 pages, Hardcover","First published March 21, 2023"
Butts: A Backstory,['Heather Radke'],"Whether we love them or hate them, think they’re sexy, think they’re strange, consider them too big, too small, or anywhere in between, humans have a complicated relationship with butts. It is a body part unique to humans, critical to our evolution and survival, and yet it has come to signify so much more: sex, desire, comedy, shame. A woman’s butt, in particular, is forever being assessed, criticized, and objectified, from anxious self-examinations trying on jeans in department store dressing rooms to enduring crass remarks while walking down a street or high school hallways. But why? In Butts: A Backstory, reporter, essayist, and RadioLab contributing editor Heather Radke is determined to find out. Spanning nearly two centuries, this “whip-smart” (Publishers Weekly, starred review) cultural history takes us from the performance halls of 19th-century London to the aerobics studios of the 1980s, the music video set of Sir Mix-a-Lot’s “Baby Got Back” and the mountains of Arizona, where every year humans and horses race in a feat of gluteal endurance. Along the way, she meets evolutionary biologists who study how butts first developed; models whose measurements have defined jean sizing for millions of women; and the fitness gurus who created fads like “Buns of Steel.” She also examines the central importance of race through figures like Sarah Bartmann, once known as the “Venus Hottentot,” Josephine Baker, Jennifer Lopez, and other women of color whose butts have been idolized, envied, and despised. Part deep dive reportage, part personal journey, part cabinet of curiosities, Butts is an entertaining, illuminating, and thoughtful examination of why certain silhouettes come in and out of fashion—and how larger ideas about race, control, liberation, and power affect our most private feelings about ourselves and others.",,"['Nonfiction', 'History', 'Audiobook', 'Science', 'Feminism', 'Sociology', 'Adult']",3.77,6331,1117,"320 pages, Hardcover","First published November 29, 2022"
"The Art Thief: A True Story of Love, Crime, and a Dangerous Obsession",['Michael Finkel'],"One of the most remarkable true-crime narratives of the twenty-first century: the story of the world’s most prolific art thief, Stéphane Breitwieser.In this spellbinding portrait of obsession and flawed genius, the best-selling author of The Stranger in the Woods brings us into Breitwieser’s strange world—unlike most thieves, he never stole for money, keeping all his treasures in a single room where he could admire them.For centuries, works of art have been stolen in countless ways from all over the world, but no one has been quite as successful at it as the master thief Stéphane Breitwieser. Carrying out more than two hundred heists over nearly eight years—in museums and cathedrals all over Europe—Breitwieser, along with his girlfriend who worked as his lookout, stole more than three hundred objects, until it all fell apart in spectacular fashion.In The Art Thief, Michael Finkel brings us into Breitwieser’s strange and fascinating world. Unlike most thieves, Breitwieser never stole for money. Instead, he displayed all his treasures in a pair of secret rooms where he could admire them to his heart’s content. Possessed of a remarkable athleticism and an innate ability to circumvent practically any security system, Breitwieser managed to pull off a breathtaking number of audacious thefts. Yet these strange talents bred a growing disregard for risk and an addict’s need to score, leading Breitwieser to ignore his girlfriend’s pleas to stop—until one final act of hubris brought everything crashing down.This is a riveting story of art, crime, love, and an insatiable hunger to possess beauty at any cost.",,"['Nonfiction', 'Art', 'True Crime', 'History', 'Audiobook', 'Biography', 'Crime']",4.01,20569,2691,"240 pages, Hardcover","First published June 22, 2023"
"8 Rules of Love: How to Find It, Keep It, and Let It Go",['Jay Shetty'],"The author of the #1 New York Times bestseller Think Like a Monk offers a revelatory guide to every stage of romance, drawing on ancient wisdom and new science.Nobody sits us down and teaches us how to love. So we’re often thrown into relationships with nothing but romance movies and pop culture to help us muddle through. Until now.Instead of presenting love as an ethereal concept or a collection of cliches, Jay Shetty lays out specific, actionable steps to help you develop the skills to practice and nurture love better than ever before. He shares insights on how to win or lose together, how to define love, and why you don’t break in a break-up. Inspired by Vedic wisdom and modern science, he tackles the entire relationship cycle, from first dates to moving in together to breaking up and starting over. And he shows us how to avoid falling for false promises and unfulfilling partners.By living Jay Shetty’s eight rules, we can all love ourselves, our partner, and the world better than we ever thought possible.",,"['Self Help', 'Nonfiction', 'Relationships', 'Audiobook', 'Psychology', 'Personal Development', 'Romance']",3.97,16310,1271,"309 pages, Hardcover","First published January 31, 2023"
On Our Best Behavior: The Seven Deadly Sins and the Price Women Pay to Be Good,['Elise Loehnen'],"A groundbreaking exploration of the ancient rules women unwittingly follow in order to be considered ""good,"" revealing how the Seven Deadly Sins still control and distort their lives and illuminating a path toward a more balanced, spiritually complete way to liveWomen congratulate themselves when they resist the doughnut in the office break-room. They celebrate their restraint when they hold back from sending an e-mail in anger. They feel virtuous when they wake up at dawn to get a jump on the day. They put others' needs ahead of their own and believe this makes them exemplary. In On Our Best Behavior, journalist Elise Loehnen explains that these impulses--often lauded as unselfish, distinctly feminine instincts--are actually ingrained in women by a culture that reaps the benefits, via an extraordinarily effective collection of mores known as the Seven Deadly Sins.Since being codified by the Christian church in the fourth century, the Seven Deadly Sins--pride, greed, lust, envy, gluttony, wrath, and sloth--have exerted insidious power. Even today, in our largely secular, patriarchal society, they continue to circumscribe women's behavior. For example, seeing sloth as sinful leads women to deny themselves rest; a fear of gluttony drives them to ignore their appetites; and an aversion to greed prevents them from negotiating for themselves and contributes to the 55 percent gender wealth gap. Loehnen reveals how women have been programmed to obey the rules represented by these sins and how doing so qualifies them as ""good."" This probing analysis of contemporary culture and thoroughly researched history explains how women have internalized the patriarchy, and how they unwittingly reinforce it. By sharing her own story and the spiritual wisdom of other traditions, Loehnen shows how women can break free and discover the integrity and wholeness they seek.",,"['Nonfiction', 'Feminism', 'Psychology', 'History', 'Self Help', 'Womens', 'Audiobook']",3.87,4505,660,"384 pages, Hardcover","First published May 23, 2023"
Doppelganger: A Trip into the Mirror World,['Naomi Klein'],"What if you woke up one morning and found you’d acquired another self―a double who was almost you and yet not you at all? What if that double shared many of your preoccupations but, in a twisted, upside-down way, furthered the very causes you’d devoted your life to fighting against?Not long ago, the celebrated activist and public intellectual Naomi Klein had just such an experience―she was confronted with a doppelganger whose views she found abhorrent but whose name and public persona were sufficiently similar to her own that many people got confused about who was who. Destabilized, she lost her bearings, until she began to understand the experience as one manifestation of a strangeness many of us have come to know but struggle to define: AI-generated text is blurring the line between genuine and spurious communication; New Age wellness entrepreneurs turned anti-vaxxers are scrambling familiar political allegiances of left and right; and liberal democracies are teetering on the edge of absurdist authoritarianism, even as the oceans rise. Under such conditions, reality itself seems to have become unmoored. Is there a cure for our moment of collective vertigo?Naomi Klein is one of our most trenchant and influential social critics, an essential analyst of what branding, austerity, and climate profiteering have done to our societies and souls. Here she turns her gaze inward to our psychic landscapes, and outward to the possibilities for building hope amid intersecting economic, medical, and political crises. With the assistance of Sigmund Freud, Jordan Peele, Alfred Hitchcock, and bell hooks, among other accomplices, Klein uses wry humor and a keen sense of the ridiculous to face the strange doubles that haunt us―and that have come to feel as intimate and proximate as a warped reflection in the mirror.Combining comic memoir with chilling reportage and cobweb-clearing analysis, Klein seeks to smash that mirror and chart a path beyond despair. Doppelganger What do we neglect as we polish and perfect our digital reflections? Is it possible to dispose of our doubles and overcome the pathologies of a culture of multiplication? Can we create a politics of collective care and undertake a true reckoning with historical crimes? The result is a revelatory treatment of the way many of us think and feel now―and an intellectual adventure story for our times.",,"['Nonfiction', 'Politics', 'Memoir', 'Audiobook', 'Psychology', 'Sociology', 'Philosophy']",4.29,7694,1276,"416 pages, Hardcover","First published September 12, 2023"
Outlive: The Science and Art of Longevity,"['Bill Gifford', 'Peter Attia']","#1 NEW YORK TIMES BESTSELLER • A groundbreaking manifesto on living better and longer that challenges the conventional medical thinking on aging and reveals a new approach to preventing chronic disease and extending long-term health, from a visionary physician and leading longevity expert “One of the most important books you’ll ever read.”—Steven D. Levitt, New York Times bestselling author of Freakonomics Wouldn’t you like to live longer? And better? In this operating manual for longevity, Dr. Peter Attia draws on the latest science to deliver innovative nutritional interventions, techniques for optimizing exercise and sleep, and tools for addressing emotional and mental health. For all its successes, mainstream medicine has failed to make much progress against the diseases of aging that kill most people: heart disease, cancer, Alzheimer’s disease, and type 2 diabetes. Too often, it intervenes with treatments too late to help, prolonging lifespan at the expense of healthspan, or quality of life. Dr. Attia believes we must replace this outdated framework with a personalized, proactive strategy for longevity, one where we take action now, rather than waiting. This is not “biohacking,” it’s science: a well-founded strategic and tactical approach to extending lifespan while also improving our physical, cognitive, and emotional health. Dr. Attia’s aim is less to tell you what to do and more to help you learn how to think about long-term health, in order to create the best plan for you as an individual. In Outlive, readers will discover: • Why the cholesterol test at your annual physical doesn’t tell you enough about your actual risk of dying from a heart attack.• That you may already suffer from an extremely common yet underdiagnosed liver condition that could be a precursor to the chronic diseases of aging.• Why exercise is the most potent pro-longevity “drug”—and how to begin training for the “Centenarian Decathlon.”• Why you should forget about diets, and focus instead on nutritional biochemistry, using technology and data to personalize your eating pattern.• Why striving for physical health and longevity, but ignoring emotional health, could be the ultimate curse of all. Aging and longevity are far more malleable than we think; our fate is not set in stone. With the right roadmap, you can plot a different path for your life, one that lets you outlive your genes to make each decade better than the one before.",,"['Health', 'Nonfiction', 'Science', 'Self Help', 'Audiobook', 'Medicine', 'Personal Development']",4.4,37150,3335,"496 pages, Hardcover","First published March 28, 2023"
The Creative Act: A Way of Being,['Rick Rubin'],"From the legendary music producer, a master at helping people connect with the wellsprings of their creativity, comes a beautifully crafted book many years in the making that offers that same deep wisdom to all of us. ""A gorgeous and inspiring work of art on creation, creativity, the work of the artist. It will gladden the hearts of writers and artists everywhere, and get them working again with a new sense of meaning and direction. A stunning accomplishment."" --Anne Lamott""I set out to write a book about what to do to make a great work of art. Instead, it revealed itself to be a book on how to be."" --Rick RubinMany famed music producers are known for a particular sound that has its day. Rick Rubin is known for something else: creating a space where artists of all different genres and traditions can home in on who they really are and what they really offer. He has made a practice of helping people transcend their self-imposed expectations in order to reconnect with a state of innocence from which the surprising becomes inevitable. Over the years, as he has thought deeply about where creativity comes from and where it doesn't, he has learned that being an artist isn't about your specific output, it's about your relationship to the world. Creativity has a place in everyone's life, and everyone can make that place larger. In fact, there are few more important responsibilities.The Creative Act is a beautiful and generous course of study that illuminates the path of the artist as a road we all can follow. It distills the wisdom gleaned from a lifetime's work into a luminous reading experience that puts the power to create moments--and lifetimes--of exhilaration and transcendence within closer reach for all of us.",,"['Nonfiction', 'Art', 'Self Help', 'Music', 'Philosophy', 'Writing', 'Design']",4.1,27152,3132,"406 pages, Hardcover","First published January 17, 2023"
